customer_id,order_date,amount,channel
C00001,2025-08-29,2772.0,App
C00001,2026-02-05,2980.0,Web
C00001,2026-03-10,3503.0,App
C00002,2025-07-08,11555.0,App
C00002,2025-08-08,5557.0,Web
C00002,2025-08-22,14363.0,App
C00002,2025-08-24,6975.0,Store
C00002,2025-09-20,10109.0,Web
C00002,2025-10-11,6924.0,App
C00002,2025-10-17,6979.0,Store
C00002,2025-11-09,5750.0,Web
C00003,2025-09-11,6457.0,Web
C00003,2025-11-03,3495.0,Web
C00003,2025-11-21,5895.0,App
C00004,2025-05-01,2423.0,App
C00004,2025-05-16,4564.0,App
C00004,2025-09-13,3646.0,Store
C00005,2025-04-25,5802.0,Web
C00005,2025-07-03,2823.0,App
C00005,2025-08-28,5324.0,Web
C00005,2025-09-22,7143.0,Web
C00005,2025-10-28,5608.0,Web
C00005,2025-11-18,4880.0,Web
C00005,2026-01-26,4442.0,Web
C00005,2026-04-25,3305.0,Web
C00005,2026-05-12,4485.0,Web
C00005,2026-06-15,7639.0,Web
C00005,2026-06-24,4401.0,Web
C00006,2025-03-29,4474.0,Web
C00006,2025-04-20,5595.0,Web
C00006,2025-06-01,2151.0,Store
C00006,2025-07-19,3150.0,Web
C00006,2025-09-30,1455.0,Store
C00006,2025-12-10,1795.0,Store
C00006,2026-02-11,5069.0,Web
C00006,2026-05-08,2564.0,App
C00006,2026-06-07,1920.0,App
C00007,2025-07-30,5079.0,Web
C00007,2025-08-31,3064.0,Web
C00007,2025-09-22,3227.0,Web
C00007,2025-10-28,4449.0,Web
C00007,2026-02-01,3356.0,App
C00008,2025-09-06,3438.0,Web
C00008,2025-12-21,4310.0,Store
C00008,2026-02-14,4044.0,App
C00009,2025-07-30,5112.0,App
C00009,2025-09-12,3937.0,App
C00009,2025-10-01,5357.0,Web
C00009,2025-10-21,6447.0,App
C00009,2025-11-02,4410.0,Web
C00009,2026-01-10,9395.0,Web
C00009,2026-05-05,5079.0,Web
C00010,2025-05-25,3630.0,App
C00010,2025-06-10,2140.0,Store
C00010,2025-07-23,3173.0,Web
C00011,2025-03-16,6257.0,Web
C00011,2025-04-15,8344.0,Web
C00011,2025-05-04,7892.0,Web
C00011,2025-05-07,10084.0,Store
C00011,2025-05-28,5823.0,Web
C00011,2025-06-21,7157.0,Web
C00011,2025-06-25,6904.0,Store
C00011,2025-07-23,9026.0,App
C00011,2025-07-28,4928.0,Web
C00011,2025-08-07,10070.0,Web
C00011,2025-08-12,8305.0,Web
C00011,2025-08-21,4449.0,App
C00011,2025-08-27,10768.0,Web
C00011,2025-10-04,15419.0,Store
C00011,2025-10-20,10017.0,Store
C00011,2025-11-02,11624.0,Web
C00011,2025-12-12,7268.0,App
C00012,2025-05-03,3100.0,Web
C00012,2025-05-25,1681.0,Web
C00012,2025-06-24,4885.0,Web
C00012,2025-09-08,2677.0,App
C00012,2025-11-27,3689.0,Web
C00012,2025-12-14,2364.0,Web
C00013,2025-04-25,1996.0,Web
C00013,2025-06-03,4268.0,Web
C00013,2025-07-01,2431.0,Web
C00014,2025-03-09,5127.0,Web
C00014,2025-03-15,2635.0,App
C00014,2025-04-29,1991.0,Web
C00014,2025-08-15,2869.0,App
C00014,2026-01-11,3583.0,Web
C00015,2025-05-09,6322.0,Web
C00015,2025-05-30,7475.0,Web
C00015,2025-07-05,9265.0,App
C00015,2025-08-01,9701.0,Web
C00015,2025-08-31,7791.0,Web
C00015,2025-09-13,8658.0,Web
C00015,2025-10-12,7215.0,Web
C00015,2025-11-01,5572.0,Web
C00015,2025-12-05,6438.0,App
C00015,2025-12-15,7101.0,App
C00016,2026-06-12,3365.0,Web
C00016,2026-07-18,4092.0,Web
C00017,2025-03-15,939.0,Web
C00017,2025-04-24,2160.0,Web
C00017,2025-05-08,2245.0,Web
C00018,2025-06-07,4159.0,App
C00018,2025-06-22,2195.0,App
C00018,2025-07-02,3787.0,Web
C00018,2025-07-29,5414.0,App
C00018,2025-09-04,6420.0,Web
C00018,2025-09-11,3470.0,App
C00018,2025-10-01,7030.0,Web
C00018,2025-10-21,2517.0,App
C00018,2025-11-17,2802.0,App
C00018,2025-12-14,6131.0,App
C00018,2026-01-25,9006.0,Web
C00018,2026-02-13,5623.0,App
C00018,2026-03-31,4542.0,App
C00018,2026-04-22,1918.0,Web
C00018,2026-05-14,2055.0,Store
C00018,2026-05-20,4861.0,App
C00018,2026-06-02,4000.0,Store
C00019,2025-09-29,3230.0,Web
C00019,2025-12-06,3255.0,App
C00019,2026-03-08,2674.0,Web
C00019,2026-05-14,5203.0,Web
C00020,2025-03-03,1974.0,App
C00020,2025-04-20,3044.0,Web
C00020,2025-06-08,1899.0,App
C00021,2025-04-19,2760.0,Store
C00021,2025-05-06,5178.0,App
C00021,2025-12-17,4052.0,Web
C00021,2025-12-25,1755.0,App
C00022,2025-05-09,4651.0,App
C00022,2025-06-12,7465.0,App
C00022,2025-07-26,12560.0,Store
C00022,2025-09-02,6621.0,Web
C00022,2025-09-24,8251.0,Web
C00022,2025-10-09,8540.0,Web
C00022,2025-10-17,4908.0,Web
C00022,2025-11-08,8435.0,Web
C00022,2025-11-26,4331.0,Store
C00022,2026-01-03,5667.0,Web
C00022,2026-01-31,10280.0,Web
C00023,2025-04-24,1734.0,App
